Bulan/Tahun,Value
01/01/2020,106.81
02/01/2020,106.84
03/01/2020,106.85
04/01/2020,106.87
05/01/2020,106.88
06/01/2020,106.91
07/01/2020,106.81
08/01/2020,106.91
09/01/2020,106.94
10/01/2020,106.94
11/01/2020,108.15
12/01/2020,108.16
01/01/2021,108.56
02/01/2021,108.56
03/01/2021,108.58
04/01/2021,109.05
05/01/2021,109.1
06/01/2021,109.26
07/01/2021,109.54
08/01/2021,109.63
09/01/2021,109.67
10/01/2021,109.68
11/01/2021,109.7
12/01/2021,109.72
01/01/2022,110.4
02/01/2022,111
03/01/2022,111.01
04/01/2022,111.03
05/01/2022,111.13
06/01/2022,111.19
07/01/2022,112.19
08/01/2022,112.53
09/01/2022,113.06
10/01/2022,113.74
11/01/2022,113.95
12/01/2022,113.97
01/01/2023,115.02
02/01/2023,115.31
03/01/2023,115.34
04/01/2023,115.35
05/01/2023,115.39
06/01/2023,115.42
07/01/2023,116.38
08/01/2023,116.57
09/01/2023,116.89
10/01/2023,117.5
11/01/2023,117.57
12/01/2023,117.57
